fips,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
22007,,,,,,,,Flooding,,,,Drought,,,,,,,,,,,,,Flooding,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,Tropical Storm,Tropical Storm,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,ASSUMPTION
06029,,,,,,,,Flooding,,,,,,,,,,,,Wildfire,,Drought,Wildfire,,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,Wildfire,,,,,,,,,,Wildfire,Extreme Heat,,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme Heat,,,,,,Wildfire,,,,,Wildfire,,,,,,,,,Drought,,,,,,,,Drought,,,,,,,,,,,,,,,,,,KERN
46113,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,Wildfire,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,SHANNON
06021,,,,,Flooding,,,Flooding,,,,,,,,,,,,Extreme Heat,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,Wildfire,,,,,,,,Drought,,,,,,,,,,,,,,,,,,Glenn
40023,,,,,,,,,,,,Drought,,,,,,,"Wind, Hail, or Lightning",,,,,"Wind, Hail, or Lightning",,,,,,,"Wind, Hail, or Lightning","Wind, Hail, or Lightning",,,,,,,,,,,,,,,,Drought,"Wind, Hail, or Lightning",,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,Extreme Heat,,,,,,,,,"Wind, Hail, or Lightning",,,,Drought,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,Drought,,,,,,,,,,,Drought,,,,,,,,,Drought,,,,,,,,,,,,,Flooding,,,,,,,,,,,"Wind, Hail, or Lightning",,Choctaw
46135,,,,,,Flooding,,,,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,Flooding,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankton
06025,,,,,,,,Tornado or Funnel Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPERIAL
06027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,,Extreme Heat,,,,,,,,,Extreme Heat,,,,,,,,Extreme Heat,,,,,,,,,,,,,,,,,,Inyo
27173,,,,,,Flooding,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,Cold Weather/Wind Chill or Freezing,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Medicine
27171,,,,,,Flooding,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,Extreme Heat,,,,,,,,,,,,,"Wind, Hail, or Lightning",,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wind, Hail, or Lightning",,,,,,,,,"Wind, Hail, or Lightning",,,,,,Extreme Heat,,,,,,"Wind, Hail, or Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wright
