date	close	color
8-Jan-09	92.70	blue
9-Jan-09	90.58	blue
12-Jan-09	88.66	blue
13-Jan-09	87.71	blue
14-Jan-09	85.33	blue
15-Jan-09	83.38	blue
16-Jan-09	82.33	blue
20-Jan-09	78.20	blue
21-Jan-09	82.83	blue
22-Jan-09	88.36	blue
23-Jan-09	88.36	blue
26-Jan-09	89.64	blue
27-Jan-09	90.73	blue
28-Jan-09	94.20	blue
29-Jan-09	93.00	blue
30-Jan-09	90.13	blue
2-Feb-09	91.51	blue
3-Feb-09	92.98	blue
4-Feb-09	93.55	blue
5-Feb-09	96.46	blue
6-Feb-09	99.72	blue
9-Feb-09	102.51	blue
10-Feb-09	97.83	blue
11-Feb-09	96.82	blue
12-Feb-09	99.27	blue
13-Feb-09	99.16	blue
17-Feb-09	94.53	blue
18-Feb-09	94.37	blue
19-Feb-09	90.64	blue
20-Feb-09	91.20	blue
23-Feb-09	86.95	blue
24-Feb-09	90.25	blue
25-Feb-09	91.16	blue
26-Feb-09	89.19	blue
27-Feb-09	89.31	blue
2-Mar-09	87.94	blue
3-Mar-09	88.37	blue
4-Mar-09	91.17	blue
5-Mar-09	88.84	blue
6-Mar-09	85.30	blue
9-Mar-09	83.11	blue
10-Mar-09	88.63	blue
11-Mar-09	92.68	blue
12-Mar-09	96.35	blue
13-Mar-09	95.93	blue
16-Mar-09	95.42	blue
17-Mar-09	99.66	blue
18-Mar-09	101.52	blue
19-Mar-09	101.62	blue
20-Mar-09	101.59	blue
23-Mar-09	107.66	blue
24-Mar-09	106.50	blue
25-Mar-09	106.49	blue
26-Mar-09	109.87	blue
27-Mar-09	106.85	blue
30-Mar-09	104.49	blue
31-Mar-09	105.12	blue
1-Apr-09	108.69	blue
2-Apr-09	112.71	blue
3-Apr-09	115.99	blue
6-Apr-09	118.45	blue
7-Apr-09	115.00	blue
8-Apr-09	116.32	blue
9-Apr-09	119.57	blue
10-Apr-09	119.57	blue
13-Apr-09	120.22	blue
14-Apr-09	118.31	blue
15-Apr-09	117.64	blue
16-Apr-09	121.45	blue
17-Apr-09	123.42	blue
20-Apr-09	120.50	blue
21-Apr-09	121.76	blue
22-Apr-09	121.51	blue
23-Apr-09	125.40	blue
24-Apr-09	123.90	blue
27-Apr-09	124.73	blue
28-Apr-09	123.90	blue
29-Apr-09	125.14	blue
30-Apr-09	125.83	blue
1-May-09	127.24	blue
4-May-09	132.07	blue
5-May-09	132.71	blue
6-May-09	132.50	blue
7-May-09	129.06	blue
8-May-09	129.19	blue
11-May-09	129.57	blue
12-May-09	124.42	blue
13-May-09	119.49	blue
14-May-09	122.95	blue
15-May-09	122.42	blue
18-May-09	126.65	blue
19-May-09	127.45	blue
20-May-09	125.87	blue
21-May-09	124.18	blue
22-May-09	122.50	blue
26-May-09	130.78	blue
27-May-09	133.05	blue
28-May-09	135.07	blue
29-May-09	135.81	blue
1-Jun-09	139.35	blue
2-Jun-09	139.49	blue
3-Jun-09	140.95	blue
4-Jun-09	143.74	blue
18-Mar-10	224.65	blue
19-Mar-10	222.25	blue
22-Mar-10	224.75	blue
23-Mar-10	228.36	blue
24-Mar-10	229.37	blue
25-Mar-10	226.65	blue
26-Mar-10	230.90	blue
29-Mar-10	232.39	blue
30-Mar-10	235.84	blue
31-Mar-10	235.00	blue
1-Apr-10	235.97	blue
2-Apr-10	235.97	blue
5-Apr-10	238.49	blue
6-Apr-10	239.54	blue
7-Apr-10	240.60	blue
8-Apr-10	239.95	blue
9-Apr-10	241.79	blue
12-Apr-10	242.29	blue
13-Apr-10	242.43	blue
14-Apr-10	245.69	blue
15-Apr-10	248.92	blue
16-Apr-10	247.40	blue
19-Apr-10	247.07	blue
20-Apr-10	244.59	blue
21-Apr-10	259.22	blue
22-Apr-10	266.47	blue
23-Apr-10	270.83	blue
26-Apr-10	269.50	blue
27-Apr-10	262.04	blue
28-Apr-10	261.60	blue
29-Apr-10	268.64	blue
30-Apr-10	261.09	blue
3-May-10	266.35	blue
4-May-10	258.68	blue
5-May-10	255.98	blue
6-May-10	246.25	blue
7-May-10	235.86	blue
10-May-10	253.99	blue
11-May-10	256.52	blue
12-May-10	262.09	blue
13-May-10	258.36	blue
14-May-10	253.82	blue
17-May-10	254.22	blue
18-May-10	252.36	blue
19-May-10	248.34	blue
20-May-10	237.76	blue
21-May-10	242.32	blue
24-May-10	246.76	blue
25-May-10	245.22	blue
26-May-10	244.11	blue
27-May-10	253.35	blue
28-May-10	256.88	blue
31-May-10	256.88	blue
1-Jun-10	260.83	blue
2-Jun-10	263.95	blue
3-Jun-10	263.12	blue
4-Jun-10	255.96	blue
7-Jun-10	250.94	blue
8-Jun-10	249.33	blue
9-Jun-10	243.20	blue
10-Jun-10	250.51	blue
11-Jun-10	253.51	blue
14-Jun-10	254.28	blue
15-Jun-10	259.69	blue
16-Jun-10	267.25	blue
17-Jun-10	271.87	blue
18-Jun-10	274.07	blue
21-Jun-10	270.17	blue
22-Jun-10	273.85	blue
23-Jun-10	270.97	blue
24-Jun-10	269.00	blue
25-Jun-10	266.70	blue
28-Jun-10	268.30	blue
29-Jun-10	256.17	blue
30-Jun-10	251.53	blue
1-Jul-10	248.48	blue
2-Jul-10	246.94	blue
5-Jul-10	246.94	blue
6-Jul-10	248.63	blue
3-Feb-11	343.44	blue
4-Feb-11	346.50	blue
7-Feb-11	351.88	blue
8-Feb-11	355.20	blue
9-Feb-11	358.16	blue
10-Feb-11	354.54	blue
11-Feb-11	356.85	blue
14-Feb-11	359.18	blue
15-Feb-11	359.90	blue
16-Feb-11	363.13	blue
17-Feb-11	358.30	blue
18-Feb-11	350.56	blue
22-Feb-11	338.61	blue
23-Feb-11	342.62	blue
24-Feb-11	342.88	blue
25-Feb-11	348.16	blue
28-Feb-11	353.21	blue
1-Mar-11	349.31	blue
2-Mar-11	352.12	blue
3-Mar-11	359.56	blue
4-Mar-11	360.00	blue
7-Mar-11	355.36	blue
8-Mar-11	355.76	blue
9-Mar-11	352.47	blue
10-Mar-11	346.67	blue
11-Mar-11	351.99	blue
14-Mar-11	353.56	blue
15-Mar-11	345.43	blue
16-Mar-11	330.01	blue
17-Mar-11	334.64	blue
18-Mar-11	330.67	blue
21-Mar-11	339.30	blue
22-Mar-11	341.20	blue
23-Mar-11	339.19	blue
24-Mar-11	344.97	blue
25-Mar-11	351.54	blue
28-Mar-11	350.44	blue
29-Mar-11	350.96	blue
30-Mar-11	348.63	blue
31-Mar-11	348.51	blue
1-Apr-11	344.56	blue
4-Apr-11	341.19	blue
5-Apr-11	338.89	blue
6-Apr-11	338.04	blue
7-Apr-11	338.08	blue
8-Apr-11	335.06	red
11-Apr-11	330.80	red
12-Apr-11	332.40	red
13-Apr-11	336.13	red
14-Apr-11	332.42	red
15-Apr-11	327.46	red
18-Apr-11	331.85	red
19-Apr-11	337.86	red
20-Apr-11	342.41	red
21-Apr-11	350.70	red
25-Apr-11	353.01	red
26-Apr-11	350.42	red
27-Apr-11	350.15	red
28-Apr-11	346.75	red
29-Apr-11	350.13	red
2-May-11	346.28	red
3-May-11	348.20	red
4-May-11	349.57	red
5-May-11	346.75	red
6-May-11	346.66	red
9-May-11	347.60	red
10-May-11	349.45	red
11-May-11	347.23	red
12-May-11	346.57	red
13-May-11	340.50	red
16-May-11	333.30	red
17-May-11	336.14	red
18-May-11	339.87	blue
19-May-11	340.53	blue
20-May-11	335.22	blue
23-May-11	334.40	blue
24-May-11	332.19	blue
25-May-11	336.78	blue
26-May-11	335.00	blue
27-May-11	337.41	blue
31-May-11	347.83	blue
1-Jun-11	345.51	blue
2-Jun-11	346.10	blue
3-Jun-11	343.44	blue
6-Jun-11	338.04	blue
7-Jun-11	332.04	blue
8-Jun-11	332.24	blue
9-Jun-11	331.49	blue
10-Jun-11	325.90	blue
13-Jun-11	326.60	blue
14-Jun-11	332.44	blue
15-Jun-11	326.75	blue
16-Jun-11	325.16	blue
17-Jun-11	320.26	blue
20-Jun-11	315.32	blue
21-Jun-11	325.30	blue
22-Jun-11	322.61	blue
23-Jun-11	331.23	blue
24-Jun-11	326.35	blue
27-Jun-11	332.04	blue
28-Jun-11	335.26	blue
29-Jun-11	334.04	blue
21-Jul-11	387.29	blue
22-Jul-11	393.30	blue
25-Jul-11	398.50	blue
26-Jul-11	403.41	blue
27-Jul-11	392.59	blue
28-Jul-11	391.82	blue
29-Jul-11	390.48	blue
1-Aug-11	396.75	blue
2-Aug-11	388.91	blue
3-Aug-11	392.57	blue
4-Aug-11	377.37	blue
5-Aug-11	373.62	blue
8-Aug-11	353.21	blue
9-Aug-11	374.01	blue
10-Aug-11	363.69	blue
11-Aug-11	373.70	blue
12-Aug-11	376.99	blue
15-Aug-11	383.41	blue
16-Aug-11	380.48	blue
17-Aug-11	380.44	blue
18-Aug-11	366.05	blue
19-Aug-11	356.03	blue
22-Aug-11	356.44	blue
23-Aug-11	373.60	blue
24-Aug-11	376.18	blue
25-Aug-11	373.72	blue
26-Aug-11	383.58	blue
29-Aug-11	389.97	blue
30-Aug-11	389.99	blue
31-Aug-11	384.83	blue
1-Sep-11	381.03	blue
2-Sep-11	374.05	blue
6-Sep-11	379.74	blue
7-Sep-11	383.93	blue
8-Sep-11	384.14	blue
9-Sep-11	377.48	blue
12-Sep-11	379.94	blue
13-Sep-11	384.62	blue
14-Sep-11	389.30	blue
15-Sep-11	392.96	blue
16-Sep-11	400.50	blue
19-Sep-11	411.63	blue
20-Sep-11	413.45	blue
21-Sep-11	412.14	blue
22-Sep-11	401.82	blue
23-Sep-11	404.30	blue
26-Sep-11	403.17	blue
27-Sep-11	399.26	blue
28-Sep-11	397.01	blue
29-Sep-11	390.57	blue
30-Sep-11	381.32	blue
3-Oct-11	374.60	blue
4-Oct-11	372.50	blue
5-Oct-11	378.25	blue
6-Oct-11	377.37	blue
7-Oct-11	369.80	blue
10-Oct-11	388.81	blue
11-Oct-11	400.29	blue
12-Oct-11	402.19	blue
13-Oct-11	408.43	blue
14-Oct-11	422.00	blue
17-Oct-11	419.99	blue
18-Oct-11	422.24	blue
19-Oct-11	398.62	blue
20-Oct-11	395.31	blue
21-Oct-11	392.87	blue
24-Oct-11	405.77	blue
25-Oct-11	397.77	blue
26-Oct-11	400.60	blue
27-Oct-11	404.69	blue
28-Oct-11	404.95	blue
31-Oct-11	404.78	blue
1-Nov-11	396.51	blue
2-Nov-11	397.41	blue
3-Nov-11	403.07	blue
4-Nov-11	400.24	blue
7-Nov-11	399.73	blue
8-Nov-11	406.23	blue
9-Nov-11	395.28	blue
10-Nov-11	385.22	red
11-Nov-11	384.62	red
14-Nov-11	379.26	red
15-Nov-11	388.83	red
16-Nov-11	384.77	red
17-Nov-11	377.41	red
18-Nov-11	374.94	red
21-Nov-11	369.01	red
22-Nov-11	376.51	red
23-Nov-11	366.99	red
25-Nov-11	363.57	red
28-Nov-11	376.12	red
29-Nov-11	373.20	red
30-Nov-11	382.20	red
1-Dec-11	387.93	red
2-Dec-11	389.70	red
5-Dec-11	393.01	red
6-Dec-11	390.95	red
7-Dec-11	389.09	red
8-Dec-11	390.66	red
9-Dec-11	393.62	red
12-Dec-11	391.84	red
13-Dec-11	388.81	red
14-Dec-11	380.19	red
15-Dec-11	378.94	red
16-Dec-11	381.02	red
19-Dec-11	382.21	red
20-Dec-11	395.95	red
21-Dec-11	396.44	red
22-Dec-11	398.55	red
23-Dec-11	403.43	red
27-Dec-11	406.53	red
28-Dec-11	402.64	red
29-Dec-11	405.12	red
30-Dec-11	405.00	red
3-Jan-12	411.23	red
4-Jan-12	413.44	red
5-Jan-12	418.03	red
6-Jan-12	422.40	red
9-Jan-12	421.73	red
10-Jan-12	423.24	red
11-Jan-12	422.55	red
12-Jan-12	421.39	red
13-Jan-12	419.81	red
17-Jan-12	424.70	red
18-Jan-12	429.11	red
19-Jan-12	427.75	red
20-Jan-12	420.30	red
23-Jan-12	427.41	red
24-Jan-12	420.41	blue
25-Jan-12	446.66	blue
26-Jan-12	444.63	blue
27-Jan-12	447.28	blue
16-Feb-12	502.21	blue
17-Feb-12	502.12	blue
21-Feb-12	514.85	blue
22-Feb-12	513.04	blue
23-Feb-12	516.39	blue
24-Feb-12	522.41	blue
27-Feb-12	525.76	blue
28-Feb-12	535.41	blue
29-Feb-12	542.44	blue
1-Mar-12	544.47	blue
2-Mar-12	545.18	blue
5-Mar-12	533.16	blue
6-Mar-12	530.26	blue
7-Mar-12	530.69	blue
8-Mar-12	541.99	blue
9-Mar-12	545.17	blue
12-Mar-12	552.00	blue
3-Apr-12	629.32	blue
20-Apr-12	572.98	blue
23-Apr-12	571.70	blue
24-Apr-12	560.28	blue
25-Apr-12	610.00	blue
26-Apr-12	607.70	blue
27-Apr-12	603.00	blue
30-Apr-12	583.98	blue
1-May-12	582.13	blue
